"","Legislatura","uf","count_PLs"
"1","54ª","AM",8
"2","54ª","MT",7
"3","54ª","PB",7
"4","54ª","GO",6
"5","54ª","SE",6
"6","54ª",NA,6
"7","54ª","RR",4
"8","54ª","BA",3
"9","54ª","DF",3
"10","54ª","PI",3
"11","54ª","RJ",3
"12","54ª","RS",3
"13","54ª","SP",3
"14","54ª","ES",2
"15","54ª","MG",2
"16","54ª","PR",2
"17","54ª","RO",2
"18","54ª","SC",2
"19","54ª","TO",2
"20","54ª","AC",1
"21","54ª","AP",1
"22","54ª","PA",1
"23","54ª","PE",1
"24","55ª","RO",14
"25","55ª","MT",12
"26","55ª","ES",9
"27","55ª","BA",8
"28","55ª","AP",7
"29","55ª","PB",7
"30","55ª","RR",7
"31","55ª","DF",6
"32","55ª","RS",6
"33","55ª","GO",5
"34","55ª","TO",5
"35","55ª","AC",4
"36","55ª","CE",4
"37","55ª",NA,4
"38","55ª","MG",3
"39","55ª","PA",3
"40","55ª","RN",3
"41","55ª","SC",3
"42","55ª","SP",3
"43","55ª","MA",2
"44","55ª","MS",2
"45","55ª","PE",2
"46","55ª","PI",2
"47","55ª","PR",2
"48","55ª","RJ",2
"49","55ª","SE",2
"50","55ª","AM",1
