"","Legislatura","autor_un","count_PLs"
"1","54ª","Eduardo Braga",4
"2","54ª","Vanessa Grazziotin",4
"3","54ª","Vital do Rêgo",4
"4","54ª","Blairo Maggi",3
"5","54ª","Ciro Nogueira",3
"6","54ª","Kaká Andrade",3
"7","54ª","Pedro Taques",3
"8","54ª","Rodrigo Rollemberg",3
"9","54ª","Romero Jucá",3
"10","54ª","Wilder Morais",3
"11","54ª","Aloysio Nunes Ferreira",2
"12","54ª","Antonio Carlos Valadares",2
"13","54ª","Clésio Andrade",2
"14","54ª","Comissão de Direitos Humanos e Legislação Participativa",2
"15","54ª","Cyro Miranda",2
"16","54ª","Cícero Lucena",2
"17","54ª","Kátia Abreu",2
"18","54ª","Lindbergh Farias",2
"19","54ª","Lídice da Mata",2
"20","54ª","Subcomissão Temporária de Resíduos Sólidos",2
"21","54ª","Acir Gurgacz",1
"22","54ª","Alvaro Dias",1
"23","54ª","Ana Amélia",1
"24","54ª","Ana Rita",1
"25","54ª","Comissão de Meio Ambiente",1
"26","54ª","Comissão de Serviços de Infraestrutura",1
"27","54ª","Cássio Cunha Lima",1
"28","54ª","Eduardo Amorim",1
"29","54ª","Eduardo Suplicy",1
"30","54ª","Fleury",1
"31","54ª","Flexa Ribeiro",1
"32","54ª","Francisco Dornelles",1
"33","54ª","Humberto Costa",1
"34","54ª","Jayme Campos",1
"35","54ª","Jorge Viana",1
"36","54ª","João Capiberibe",1
"37","54ª","João Durval",1
"38","54ª","Luiz Henrique",1
"39","54ª","Magno Malta",1
"40","54ª","Mozarildo Cavalcanti",1
"41","54ª","Paulo Bauer",1
"42","54ª","Paulo Paim",1
"43","54ª","Pedro Simon",1
"44","54ª","Roberto Requião",1
"45","54ª","Valdir Raupp",1
"46","55ª","Acir Gurgacz",7
"47","55ª","Rose de Freitas",7
"48","55ª","Valdir Raupp",6
"49","55ª","Wellington Fagundes",6
"50","55ª","Lídice da Mata",5
"51","55ª","Wilder Morais",5
"52","55ª","Cidinho Santos",4
"53","55ª","Donizeti Nogueira",4
"54","55ª","Hélio José",4
"55","55ª","Raimundo Lira",4
"56","55ª","Randolfe Rodrigues",4
"57","55ª","Ana Amélia",3
"58","55ª","Cássio Cunha Lima",3
"59","55ª","Davi Alcolumbre",3
"60","55ª","Jorge Viana",3
"61","55ª","Otto Alencar",3
"62","55ª","Telmário Mota",3
"63","55ª","Aécio Neves",2
"64","55ª","Comissão de Direitos Humanos e Legislação Participativa",2
"65","55ª","Cristovam Buarque",2
"66","55ª","Dalirio Beber",2
"67","55ª","Dário Berger",2
"68","55ª","Eduardo Amorim",2
"69","55ª","Eunício Oliveira",2
"70","55ª","Flexa Ribeiro",2
"71","55ª","José Agripino",2
"72","55ª","José Medeiros",2
"73","55ª","José Serra",2
"74","55ª","Lasier Martins",2
"75","55ª","Marcelo Crivella",2
"76","55ª","Roberto Rocha",2
"77","55ª","Romero Jucá",2
"78","55ª","Rudson Leite",2
"79","55ª","Alvaro Dias",1
"80","55ª","Antonio Anastasia",1
"81","55ª","Ciro Nogueira",1
"82","55ª","Comissão Mista de Desburocratização (ATN nº 3, de 2016 )",1
"83","55ª","Comissão de Meio Ambiente",1
"84","55ª","Delcídio do Amaral",1
"85","55ª","Elmano Férrer",1
"86","55ª","Fernando Bezerra Coelho",1
"87","55ª","Garibaldi Alves Filho",1
"88","55ª","Gladson Cameli",1
"89","55ª","Gleisi Hoffmann",1
"90","55ª","Humberto Costa",1
"91","55ª","Ivo Cassol",1
"92","55ª","José Pimentel",1
"93","55ª","Marta Suplicy",1
"94","55ª","Paulo Bauer",1
"95","55ª","Paulo Paim",1
"96","55ª","Paulo Rocha",1
"97","55ª","Pedro Chaves",1
"98","55ª","Ricardo Ferraço",1
"99","55ª","Sandra Braga",1
"100","55ª","Sérgio de Castro",1
"101","55ª","Tasso Jereissati",1
"102","55ª","Vicentinho Alves",1
