"","Legislatura","uf","count_PLs_uf","regiao","count_PLs_regiao"
"1","54ª","AM",8,"Norte",19
"2","54ª","MT",7,"Centro-Oeste",16
"3","54ª","PB",7,"Nordeste",20
"4","54ª","GO",6,"Centro-Oeste",16
"5","54ª","SE",6,"Nordeste",20
"6","54ª","RR",4,"Norte",19
"7","54ª","BA",3,"Nordeste",20
"8","54ª","DF",3,"Centro-Oeste",16
"9","54ª","PI",3,"Nordeste",20
"10","54ª","RJ",3,"Sudeste",10
"11","54ª","RS",3,"Sul",7
"12","54ª","SP",3,"Sudeste",10
"13","54ª","ES",2,"Sudeste",10
"14","54ª","MG",2,"Sudeste",10
"15","54ª","PR",2,"Sul",7
"16","54ª","RO",2,"Norte",19
"17","54ª","SC",2,"Sul",7
"18","54ª","TO",2,"Norte",19
"19","54ª","AC",1,"Norte",19
"20","54ª","AP",1,"Norte",19
"21","54ª","PA",1,"Norte",19
"22","54ª","PE",1,"Nordeste",20
"23","55ª","RO",14,"Norte",41
"24","55ª","MT",12,"Centro-Oeste",25
"25","55ª","ES",9,"Sudeste",17
"26","55ª","BA",8,"Nordeste",30
"27","55ª","AP",7,"Norte",41
"28","55ª","PB",7,"Nordeste",30
"29","55ª","RR",7,"Norte",41
"30","55ª","DF",6,"Centro-Oeste",25
"31","55ª","RS",6,"Sul",11
"32","55ª","GO",5,"Centro-Oeste",25
"33","55ª","TO",5,"Norte",41
"34","55ª","AC",4,"Norte",41
"35","55ª","CE",4,"Nordeste",30
"36","55ª","MG",3,"Sudeste",17
"37","55ª","PA",3,"Norte",41
"38","55ª","RN",3,"Nordeste",30
"39","55ª","SC",3,"Sul",11
"40","55ª","SP",3,"Sudeste",17
"41","55ª","MA",2,"Nordeste",30
"42","55ª","MS",2,"Centro-Oeste",25
"43","55ª","PE",2,"Nordeste",30
"44","55ª","PI",2,"Nordeste",30
"45","55ª","PR",2,"Sul",11
"46","55ª","RJ",2,"Sudeste",17
"47","55ª","SE",2,"Nordeste",30
"48","55ª","AM",1,"Norte",41
